Channel Pedestal CM_slope CM_offset kappa_BXm1
199 87.655602 0.255624 64.634503 0.000000
200 89.088816 0.103925 79.729456 0.000000
201 86.236244 0.232221 65.322814 0.000000
202 89.244617 0.264719 65.404439 0.000000
203 88.052333 0.276449 63.155803 0.000000
204 93.695375 0.008600 92.920890 0.000000
205 89.005383 0.269292 64.753381 0.000000
206 88.410387 0.289619 62.327729 0.000000
207 89.654506 0.275624 64.832263 0.000000
208 90.288278 0.340660 59.608997 0.000000
209 89.557815 0.109844 79.665448 0.000000
210 86.874900 0.130824 75.093104 0.000000
211 85.947667 0.256168 62.877596 0.000000
212 86.125897 0.354711 54.181168 0.000000
213 90.010865 0.349683 58.518981 0.000000
214 88.097189 0.353114 56.296264 0.000000
215 87.217703 0.297234 60.449285 0.000000
216 87.106559 0.316117 58.637559 0.000000
217 88.907795 0.278698 63.808675 0.000000
218 89.021033 0.322821 59.948267 0.000000
219 89.232057 0.103234 79.934981 0.000000
220 86.718002 0.031909 83.844355 0.000000
221 0.000000 0.000000 0.000000 0.000000
222 87.545853 0.420565 49.670447 0.000000
223 88.628688 0.424930 50.360150 0.000000
224 88.422548 0.355191 56.434598 0.000000
225 88.610347 0.054599 83.693243 0.000000
226 88.938796 0.333436 58.910041 0.000000
227 88.002791 0.393907 52.528148 0.000000
228 88.266746 0.176456 72.375384 0.000000
268435648 89.514852 1.021523 -2.481869 0.000000
268435649 90.601974 0.978477 2.481869 0.000000
256 85.956140 0.259085 63.030219 0.000000
257 84.796750 0.245451 63.077248 0.000000
258 83.026316 0.276435 58.565108 0.000000
259 85.978469 0.285661 60.700846 0.000000
260 84.536782 0.292674 58.638669 0.000000
261 86.523026 0.309674 59.120614 0.000000
262 83.498405 0.305935 56.426790 0.000000
263 87.026415 0.307074 59.854057 0.000000
264 86.582337 0.218323 67.263336 0.000000
265 86.823266 0.280811 61.974878 0.000000
266 87.428828 0.330261 58.204665 0.000000
267 86.634270 0.287526 61.191623 0.000000
268 85.086423 0.267954 61.375708 0.000000
269 86.430024 0.262947 63.162322 0.000000
270 86.202253 0.266987 62.577090 0.000000
271 0.000000 0.000000 0.000000 0.000000
272 85.258573 0.263754 61.919471 0.000000
273 85.711324 0.180671 69.724109 0.000000
274 87.322269 0.211214 68.632320 0.000000
275 87.112141 0.272187 63.026871 0.000000
276 88.874103 0.240247 67.615083 0.000000
277 87.452053 0.273588 63.242806 0.000000
278 84.781400 0.271548 60.752627 0.000000
279 86.812301 0.264496 63.407564 0.000000
280 86.001396 0.226260 65.980099 0.000000
281 86.142943 0.262750 62.892709 0.000000
282 85.103369 0.263601 61.777815 0.000000
283 85.104565 0.183148 68.898193 0.000000
284 88.868820 0.202716 70.930891 0.000000
285 86.755084 0.284462 61.583566 0.000000
286 86.282895 0.254416 63.770124 0.000000
287 84.956439 0.240299 63.692836 0.000000
288 86.000000 0.229233 65.715645 0.000000
289 85.975578 0.196835 68.558030 0.000000
290 84.062799 0.226174 64.049112 0.000000
291 86.188497 0.221079 66.625636 0.000000
292 84.909789 0.200390 67.177700 0.000000
268435712 84.945275 0.975813 -1.402495 0.000000
268435713 92.030801 1.024187 1.402495 0.000000
320 88.243421 0.339500 58.027357 0.000000
321 88.449262 0.349732 57.322525 0.000000
322 88.482855 0.346531 57.641004 0.000000
323 87.185008 0.380487 53.321083 0.000000
324 87.452951 0.439682 48.320587 0.000000
325 86.624103 0.428015 48.530101 0.000000
326 87.265351 0.467408 45.665302 0.000000
327 86.017344 0.408183 49.688445 0.000000
328 87.594099 0.134144 75.655034 0.000000
329 88.265052 0.339944 58.009455 0.000000
330 87.410885 0.360528 55.323293 0.000000
331 87.209928 0.396913 51.884078 0.000000
332 86.996312 0.405113 50.940627 0.000000
333 87.397428 0.456898 46.732743 0.000000
334 88.282994 0.429204 50.083170 0.000000
335 87.547847 0.463302 46.313234 0.000000
336 90.116826 0.517981 44.015707 0.000000
337 88.608154 0.117325 78.166043 0.000000
338 88.264753 0.124005 77.228070 0.000000
339 89.232456 0.404180 53.259833 0.000000
340 88.612739 0.490356 44.970242 0.000000
341 87.824860 0.530691 40.592508 0.000000
342 89.239234 0.499135 44.815440 0.000000
343 89.290969 0.449282 49.304122 0.000000
344 88.425638 0.472794 46.346195 0.000000
345 88.333034 0.473890 46.156059 0.000000
346 87.738537 0.530059 40.562408 0.000000
347 87.560108 0.150374 74.176594 0.000000
348 88.349282 0.616552 33.475140 0.000000
349 88.242524 0.617431 33.290163 0.000000
350 89.414075 0.617312 34.472288 0.000000
351 87.427133 0.667448 28.023227 0.000000
352 88.641647 0.614197 33.977132 0.000000
353 88.916069 0.522296 42.430893 0.000000
354 87.793062 0.590153 35.268521 0.000000
355 88.564394 0.600905 35.082866 0.000000
356 85.621411 0.232791 64.902678 0.000000
268435776 89.411085 0.995032 0.851647 0.000000
268435777 88.592105 1.004968 -0.851647 0.000000
