Channel Pedestal CM_slope CM_offset kappa_BXm1
217 88.907795 0.308060 0.367999 0.000000
218 89.021033 0.326656 0.277059 0.000000
219 89.232057 0.153970 0.868182 0.000000
220 86.718002 0.003190 1.156213 0.000000
221 0.000000 0.000000 0.000000 0.000000
222 87.545853 0.351934 0.804121 0.000000
223 88.628688 0.381397 0.402416 0.000000
224 88.422548 0.333289 0.775091 0.000000
225 88.610347 0.054969 0.642993 0.000000
226 88.938796 0.361721 0.978141 0.000000
227 88.002791 0.364558 0.875447 0.000000
228 88.266746 0.180894 0.060707 0.000000
229 89.514852 1.038952 0.073411 0.000000
230 90.601974 0.961048 -0.073411 0.000000
256 85.956140 0.274869 0.133108 0.000000
257 84.796750 0.277361 0.565603 0.000000
258 83.026316 0.298836 0.134924 0.000000
259 85.978469 0.283969 0.438953 0.000000
260 84.536782 0.293958 -0.461184 0.000000
261 86.523026 0.310158 0.554770 0.000000
262 83.498405 0.316705 1.193569 0.000000
263 87.026415 0.282389 0.847240 0.000000
264 86.582337 0.220612 0.839256 0.000000
265 86.823266 0.270859 0.431039 0.000000
266 87.428828 0.302167 0.103904 0.000000
267 86.634270 0.262535 0.810823 0.000000
268 85.086423 0.269712 0.210693 0.000000
269 86.430024 0.277570 0.828638 0.000000
270 86.202253 0.268267 0.142890 0.000000
271 0.000000 0.000000 0.000000 0.000000
272 85.258573 0.298741 0.154378 0.000000
273 85.711324 0.212158 0.512925 0.000000
274 87.322269 0.232417 -0.071039 0.000000
275 87.112141 0.300603 0.746455 0.000000
276 88.874103 0.261686 0.246380 0.000000
277 87.452053 0.255407 -0.073518 0.000000
278 84.781400 0.271845 0.890047 0.000000
279 86.812301 0.284441 -0.160578 0.000000
280 86.001396 0.263476 0.695826 0.000000
281 86.142943 0.303794 0.479195 0.000000
282 85.103369 0.275661 0.083803 0.000000
283 85.104565 0.182488 0.293550 0.000000
284 88.868820 0.248601 0.112868 0.000000
285 86.755084 0.293537 0.780929 0.000000
286 86.282895 0.257656 1.032513 0.000000
287 84.956439 0.297154 1.033648 0.000000
288 86.000000 0.246659 -0.325666 0.000000
289 85.975578 0.247164 0.731046 0.000000
290 84.062799 0.251190 0.674837 0.000000
291 86.188497 0.258931 0.207183 0.000000
292 84.909789 0.205086 0.701999 0.000000
293 84.945275 0.959147 0.549219 0.000000
294 92.030801 1.040853 -0.549219 0.000000
320 88.243421 0.329597 0.881354 0.000000
321 88.449262 0.260832 0.693465 0.000000
322 88.482855 0.342423 0.409376 0.000000
323 87.185008 0.385656 0.466210 0.000000
324 87.452951 0.409428 0.839230 0.000000
325 86.624103 0.436312 0.774947 0.000000
326 87.265351 0.436466 0.594531 0.000000
327 86.017344 0.420662 0.900728 0.000000
328 87.594099 0.158678 0.183038 0.000000
329 88.265052 0.337914 0.497780 0.000000
330 87.410885 0.377463 0.573108 0.000000
331 87.209928 0.409934 0.437156 0.000000
332 86.996312 0.421050 0.112708 0.000000
333 87.397428 0.427163 0.353429 0.000000
334 88.282994 0.423553 0.241594 0.000000
335 87.547847 0.418520 0.680635 0.000000
336 90.116826 0.474963 0.019214 0.000000
337 88.608154 0.120823 0.192745 0.000000
338 88.264753 0.145703 0.881594 0.000000
339 89.232456 0.399326 0.726455 0.000000
340 88.612739 0.478045 0.337223 0.000000
341 87.824860 0.487468 0.450993 0.000000
342 89.239234 0.453435 0.221912 0.000000
343 89.290969 0.432453 0.401079 0.000000
344 88.425638 0.416568 0.686607 0.000000
345 88.333034 0.439859 0.237109 0.000000
346 87.738537 0.481100 0.289414 0.000000
347 87.560108 0.148619 0.093632 0.000000
348 88.349282 0.526852 0.268535 0.000000
349 88.242524 0.513798 0.729330 0.000000
350 89.414075 0.530540 0.598894 0.000000
351 87.427133 0.594151 0.292373 0.000000
352 88.641647 0.542440 0.206386 0.000000
353 88.916069 0.474500 0.756583 0.000000
354 87.793062 0.505436 0.682818 0.000000
355 88.564394 0.534637 0.114585 0.000000
356 85.621411 0.236842 0.724775 0.000000
357 89.411085 0.982256 0.473148 0.000000
358 88.592105 1.017744 -0.473148 0.000000
