Channel Pedestal CM_slope CM_offset kappa_BXm1
217 0.525844 0.308060 0.367999 0.000000
218 0.444432 0.326656 0.277059 0.000000
219 0.947074 0.153970 0.868182 0.000000
220 1.157848 0.003190 1.156213 0.000000
221 0.000000 0.000000 0.000000 0.000000
222 0.984446 0.351934 0.804121 0.000000
223 0.597837 0.381397 0.402416 0.000000
224 0.945863 0.333289 0.775091 0.000000
225 0.671159 0.054969 0.642993 0.000000
226 1.163480 0.361721 0.978141 0.000000
227 1.062240 0.364558 0.875447 0.000000
228 0.153394 0.180894 0.060707 0.000000
268435648 0.605751 1.038952 0.073411 0.000000
268435649 0.419013 0.961048 -0.073411 0.000000
256 0.309798 0.274869 0.133108 0.000000
257 0.743894 0.277361 0.565603 0.000000
258 0.327019 0.298836 0.134924 0.000000
259 0.621492 0.283969 0.438953 0.000000
260 -0.272224 0.293958 -0.461184 0.000000
261 0.754144 0.310158 0.554770 0.000000
262 1.397151 0.316705 1.193569 0.000000
263 1.028763 0.282389 0.847240 0.000000
264 0.981068 0.220612 0.839256 0.000000
265 0.605151 0.270859 0.431039 0.000000
266 0.298140 0.302167 0.103904 0.000000
267 0.979584 0.262535 0.810823 0.000000
268 0.384067 0.269712 0.210693 0.000000
269 1.007063 0.277570 0.828638 0.000000
270 0.315335 0.268267 0.142890 0.000000
271 0.000000 0.000000 0.000000 0.000000
272 0.346413 0.298741 0.154378 0.000000
273 0.649303 0.212158 0.512925 0.000000
274 0.078362 0.232417 -0.071039 0.000000
275 0.939687 0.300603 0.746455 0.000000
276 0.414595 0.261686 0.246380 0.000000
277 0.090661 0.255407 -0.073518 0.000000
278 1.064792 0.271845 0.890047 0.000000
279 0.022264 0.284441 -0.160578 0.000000
280 0.865192 0.263476 0.695826 0.000000
281 0.674477 0.303794 0.479195 0.000000
282 0.261002 0.275661 0.083803 0.000000
283 0.410855 0.182488 0.293550 0.000000
284 0.272672 0.248601 0.112868 0.000000
285 0.969618 0.293537 0.780929 0.000000
286 1.198138 0.257656 1.032513 0.000000
287 1.224663 0.297154 1.033648 0.000000
288 -0.167110 0.246659 -0.325666 0.000000
289 0.889926 0.247164 0.731046 0.000000
290 0.836304 0.251190 0.674837 0.000000
291 0.373627 0.258931 0.207183 0.000000
292 0.833831 0.205086 0.701999 0.000000
268435712 1.165770 0.959147 0.549219 0.000000
268435713 0.119854 1.040853 -0.549219 0.000000
320 0.886641 0.329597 0.881354 0.000000
321 0.697649 0.260832 0.693465 0.000000
322 0.414869 0.342423 0.409376 0.000000
323 0.472397 0.385656 0.466210 0.000000
324 0.845798 0.409428 0.839230 0.000000
325 0.781947 0.436312 0.774947 0.000000
326 0.601532 0.436466 0.594531 0.000000
327 0.907476 0.420662 0.900728 0.000000
328 0.185584 0.158678 0.183038 0.000000
329 0.503201 0.337914 0.497780 0.000000
330 0.579163 0.377463 0.573108 0.000000
331 0.443732 0.409934 0.437156 0.000000
332 0.119463 0.421050 0.112708 0.000000
333 0.360282 0.427163 0.353429 0.000000
334 0.248388 0.423553 0.241594 0.000000
335 0.687349 0.418520 0.680635 0.000000
336 0.026833 0.474963 0.019214 0.000000
337 0.194684 0.120823 0.192745 0.000000
338 0.883932 0.145703 0.881594 0.000000
339 0.732861 0.399326 0.726455 0.000000
340 0.344892 0.478045 0.337223 0.000000
341 0.458813 0.487468 0.450993 0.000000
342 0.229187 0.453435 0.221912 0.000000
343 0.408016 0.432453 0.401079 0.000000
344 0.693290 0.416568 0.686607 0.000000
345 0.244166 0.439859 0.237109 0.000000
346 0.297132 0.481100 0.289414 0.000000
347 0.096016 0.148619 0.093632 0.000000
348 0.276987 0.526852 0.268535 0.000000
349 0.737573 0.513798 0.729330 0.000000
350 0.607405 0.530540 0.598894 0.000000
351 0.301904 0.594151 0.292373 0.000000
352 0.215088 0.542440 0.206386 0.000000
353 0.764195 0.474500 0.756583 0.000000
354 0.690927 0.505436 0.682818 0.000000
355 0.123161 0.534637 0.114585 0.000000
356 0.728574 0.236842 0.724775 0.000000
268435776 0.488905 0.982256 0.473148 0.000000
268435777 -0.456821 1.017744 -0.473148 0.000000
